project,submersible,evaluation,distribution,study,transport,handling,physiology,physiological,orthophotography,mapping,management,evaluation,conservation,development,plan,outreach,colonization,law,wedge-wire,demography,helicopter,plumage,implantation,hatchery-reared,diet,propagation,dispersal,colorimeter,video,vocalization,distribution,sherman,sigmodon,open-cup,treatment,biomass,taxonomic,sampled,scanned,translocation,broodstock,absence,presence,terrestrial,drawdown,boat,band,hydrology,hydrological,ves,fertilizer,limnological,turbidity,sur,hydrophone,cover,harp,swim,chamber,restoration,depth,hoop,dimorphism,call-playback,banded,banding,imaging,aerial,repatriation,passive,active,implantation,sonic,fyke,tag,pit,toxicity,visual,aging,pectoral,fin,sexed,trammel,mist-netting,netted,demography,post-stocking,telemetry,shannon-wiener,diversity,epa,anova,abiotic,clearing,monitoring,survey,singing,display,search,creation,restoration,population,acoustic,recruitment,gis,satellite,map,disease,swimming,growth,mass,height,weight,weighed,density,moisture,temperature,trial,treatment,tolerance,mortality,netting,transponder,trapping,trap,capture,captured,release,mark,recapture,mark-recapture,electrofishing,sampling,double-sampling,transmitters,tagging,tagged,track,tracking,transect,sensor,photo,photograph,photography,genetic,dna,mtdna,microsatellites,haplotype,tissue,cell,microscope,planting,fungus,survivorship,stocking,spawning,habitat,nest,nesting,eggs,predation,predator,prey,breeding,survival,foraging,fertilization,fire,oxygen,nitrogen,carbon,potassium,phosphorous,ammonia,formalin,salinity,nitrate,nitrite,acid,alkalinity,arsenic,selenium,conductivity,biomass,pozzolan,lassenite,humidity
c17,0,0,0,0.00127197,0,0,0,0,0,0,0.000809436,0,0,0,0.000693802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000462535,0,0,0,0,0.000693802,0,0,0.000346901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000462535,0.000462535,0,0,0.000346901,0.000925069,0.002543941,0,0.003237743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003006475,0,0.001965772,0,0,0,0,0,0.000925069,0,0,0.002312673,0,0,0,0,0,0,0,0,0.001734505,0,0,0.000346901,0.00127197,0.00127197,0,0,0.000346901,0.000925069,0.001965772,0.001040703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000346901,0,0,0,0.001040703,0.003700278,0.000693802,0,0,0.000462535,0.000693802,0,0,0,0.001503238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c19,0,0,0.000823045,0.001028807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004320988,0,0,0,0,0,0.005555556,0,0,0.000823045,0,0,0,0,0,0,0.001028807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000823045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000617284,0.001440329,0,0,0,0,0,0.003497942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c21,0,0,0.000412839,0.000619259,0,0,0,0,0,0,0.000928888,0,0.001135308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001754567,0.000825679,0.000412839,0,0,0,0,0,0,0,0,0,0,0,0.000309629,0,0,0,0.000722469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000516049,0.000516049,0.002580246,0.001548147,0,0,0,0,0.000309629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001135308,0,0,0,0,0,0,0.001960987,0.005160491,0,0,0,0,0,0.002064197,0,0,0,0,0,0,0,0.000825679,0,0,0.000516049,0,0.001032098,0,0,0,0,0,0,0,0,0,0,0.000825679,0,0,0,0,0,0,0,0,0.001548147,0,0,0,0,0,0,0,0,0,0.000516049,0.001032098,0.000412839,0,0,0,0,0,0,0,0,0,0,0.001135308,0.005057281,0.001238518,0.001032098,0,0,0.000722469,0.000619259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c22,0,0.000102223,0.000766675,0.000664452,0,0,0,0,0,7.67E-05,0.000715564,0.000102223,0.000587784,0,0.000255558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000766675,0,0,0,0,0,0,0,0,0,0,0,0.000153335,0,0,0,0,0,0,0,0,0,0,0,0,0.002453361,0,0,0,0.002300026,0,0,0,0,0.000766675,0,0,0.000741119,0,0,0,0,0,0,0,0,0,0.000511117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127779,0.004395604,0,0,0,0,0.002300026,0.000204447,0,0,0.000153335,0,0,0,0,0,0,0.00227447,0,0,0.000127779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006772297,0.001098901,0.000230003,0,0,0,0,0.00534117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67E-05
c23,0,0,0.001458112,0.001656946,0,0.000331389,0,0,0,0,0.000265111,0,0.000198834,0.000265111,0,0,0,0,0,0,0.002253446,0,0,0,0,0,0,0,0.000994168,0,0.001458112,0,0,0,0,0,0,0.000265111,0,0,0,0,0.000729056,0,0,0.00583245,0,0,0,0,0,0,0.000265111,0,0,0,0,0,0.000198834,0,0.000331389,0.001922057,0,0,0,0,0,0.001855779,0,0.000198834,0.000530223,0,0,0,0,0.000265111,0,0.000463945,0,0,0,0,0.004175504,0,0.000198834,0,0,0,0,0,0,0,0,0,0.001855779,0.002054613,0,0,0,0,0,0.00304878,0,0,0,0,0,0,0,0.000331389,0,0,0.000198834,0,0.000331389,0,0,0,0,0,0,0.004440615,0,0,0.000198834,0.001391835,0.002187169,0,0.000463945,0.000463945,0,0.004705726,0.001922057,0,0,0,0,0,0,0.000530223,0,0,0.000331389,0.001590668,0,0,0,0,0,0,0,0,0,0,0,0.000265111,0.006296394,0.000530223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c24,0,0.000195179,0.003513223,0.001268664,0,0,0,0,0,0.000195179,0.001610227,0.000195179,0.002342149,0.000536742,0.000731922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003513223,0,0,0,0,0,0,0,0,0,0,0.000390358,0.000927101,0,0,0,0.000195179,0,0,0,0,0,0,0,0,0.001073485,0,0,0,0.003025276,0,0,0,0,0,0,0,0.002927686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243974,0,0,0,0,0,0.003122865,0,0.000243974,0,0.000195179,0.003025276,0.000585537,0,0,0.000390358,0.003854787,0.001415048,0,0,0.000439153,0,0.00204938,0,0,0.004098761,0,0,0,0,0,0,0,0,0,0,0.000146384,0,0,0,0,0,0,0.001561433,0,0,0,0,0,0,0,0,0,0,0.000292769,0,0,0,0,0,0,0.001805406,0,0,0,0,0,0,0.010149312,0.000146384,0.000195179,0,0,0,0,0.003903582,0,0,0,0.000146384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c25,0,0,0,0,0,0,0,0,0,0,0.007957011,0,0.006510282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005786917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00330681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002686783,0,0,0,0
c26,0,0.009143554,0,0.003454231,0,0.00040638,0.00040638,0,0,0,0.00101595,0.009143554,0.002438281,0,0.000507975,0,0,0,0,0,0,0,0,0.00060957,0,0,0.000304785,0,0,0,0,0,0,0,0.016864777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003860612,0.003860612,0,0,0,0,0,0,0,0,0,0.000914355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001727116,0,0,0,0,0,0,0,0,0.00060957,0,0,0,0,0,0,0,0,0,0,0,0.003657422,0.002031901,0.003555826,0,0,0.001219141,0,0,0,0.00101595,0.008635579,0.016864777,0,0,0,0,0,0,0.000711165,0,0,0,0,0,0,0,0,0,0,0,0,0.00060957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001422331,0,0,0,0,0,0.001219141,0.002133496,0,0,0.001422331,0.000711165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c27,0,0,0.009016745,0.009016745,0,0,0,0,0,0,0.003220266,0,0.008587377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009016745,0.001073422,0.036925719,0,0,0,0,0.004293688,0,0,0,0,0.002361529,0,0,0,0,0,0,0,0,0,0,0,0,0.030270502,0,0,0,0.007728639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000644053,0,0,0,0,0,0,0,0,0,0,0.007728639,0.019321597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008372692,0.012881065,0.009016745,0.010519536,0,0,0,0,0,0.008802061,0,0,0,0,0,0,0,0,0,0,0,0.002790897,0.001073422,0.001502791,0,0.00193216,0.000644053,0,0,0,0,0,0,0,0.027050236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c28,0,0,0.000280289,0.002872959,0,0.000140144,0,0,0,0,0.001226263,0,0.001226263,0.000245253,0.000105108,0,0,0,0,0.000280289,0,0,0,0,0,0,0,0,0.001821877,0,0.000280289,0,0,0.000385397,0,0,0,0,0,0,0,0.000105108,0.000280289,0,0,0,0,0,0,0,0,0,0,0,0,0.005185341,0,0,0,0.000560577,0,0,0,0,0,0,0,0,0,0,0.00063065,0,0,0,0,0,0,0.000210217,0,0,0,0,0,0,0,0.000280289,0,0,0,0,0,0,0,0,0.000735758,0.00017518,0,0,0,0,0.000560577,0.00063065,0,0,0,0,0,0,0,0,0,0.004169294,0,0,0.00098101,0,0.002277346,0,0,0,0.000140144,0,0,0.000140144,0,0.000210217,0.000385397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140144,0,0,0,0,0,0.003538645,0.033564572,0.001226263,0.006761965,0.011421764,0.00143648,0.000560577,0.000595613,0.000245253,0.000210217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c29,0,0,0.000911577,0,0,0,0,0,0,0,0.000683683,0,0.004329991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911577,0,0,0,0,0,0,0.001253418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001709207,0.00239289,0,0,0.005241568,0.00079763,0.004785779,0,0.000455789,0,0,0,0,0,0,0,0,0,0,0,0.000455789,0.000455789,0,0,0,0,0,0.004443938,0,0,0,0,0,0,0,0.000455789,0,0,0,0,0,0,0,0,0,0,0,0.000341841,0,0,0,0.001367366,0.001367366,0.002164995,0,0.000455789,0,0.000569736,0.001025524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079763,0,0,0,0.014015497,0.000455789,0.000341841,0,0,0,0.000455789,0,0,0,0.001025524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2,0,0,0.005577245,0,0,0,0,0,0,0,0.004461796,0,0.020356944,0,0.002788622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005577245,0,0,0,0,0,0,0,0,0,0,0.000557724,0.001533742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015337423,0.006692694,0,0,0,0,0,0.006553263,0,0.000697156,0,0,0,0,0,0,0,0,0,0,0,0,0.00250976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010039041,0,0,0,0,0,0,0,0.000836587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c30,0,0,0.001117475,0.001536527,0.003352424,0.000698422,0.001117475,0,0,0,0.000698422,0,0.003492108,0.001257159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001117475,0,0,0,0.021232016,0,0,0,0,0,0,0,0.000558737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000558737,0,0,0,0,0,0.00516832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001676212,0,0.021232016,0,0.007822322,0,0,0,0,0,0,0,0,0,0,0,0.000419053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000698422,0,0,0,0.000558737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002374633,0,0,0.012850957,0,0,0,0,0,0,0,0.000558737,0,0,0,0
c31,0,0,0.002436054,0,0,0,0,0,0,0,0.001218027,0,0.005481121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002436054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365408,0,0,0,0,0,0,0,0,0,0,0,0.005785627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005785627,0.001522533,0.007612667,0.00182704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c32,0,0,0,0.003223617,0,0,0,0,0,0,0,0,0.001696641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003053953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002035969,0,0,0,0,0,0,0.005089922,0.006616899,0.003053953,0.001696641,0.017136071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008652867,0,0,0,0,0,0,0,0,0.008992195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
